Team,Pld,Won,Lost,Tied,N/R,Net RR,For,Against,Pts,Position
Sunrisers Hyderabad SRH,14,9,5,0,0,0.284,"2,230/273.3","2,193/278.4",18,1
Chennai Super Kings CSK,14,9,5,0,0,0.253,"2,488/275.3","2,433/277.1",18,2
Kolkata Knight Riders KKR,14,8,6,0,0,-0.07,"2,363/265.1","2,425/270",16,3
Rajasthan Royals RR,14,7,7,0,0,-0.25,"2,130/255.3","2,141/249.2",14,4
Mumbai Indians MI,14,6,8,0,0,0.317,"2,380/278.4","2,282/277.3",12,5
Royal Challengers Bangalore RCB,14,6,8,0,0,0.129,"2,322/264.4","2,383/275.4",12,6
Kings XI Punjab KXIP,14,6,8,0,0,-0.502,"2,210/268.4","2,259/258.5",12,7
Delhi Capitals DC,14,5,9,0,0,-0.222,"2,297/258","2,304/252.3",10,8
Mumbai Indians MI,14,9,5,0,0,0.421,"2,380/275.1","2,282/277.2",18,1
Chennai Super Kings CSK,14,9,5,0,0,0.131,"2,043/274.1","2,012/274.5",18,2
Delhi Capitals DC,14,9,5,0,0,0.044,"2,207/272.5","2,238/278.1",18,3
Sunrisers Hyderabad SRH,14,6,8,0,0,0.577,"2,288/269.2","2,200/277.5",12,4
Kolkata Knight Riders KKR,14,6,8,0,0,0.028,"2,466/270.4","2,419/266.2",12,5
Kings XI Punjab KXIP,14,6,8,0,0,-0.251,"2,429/276.3","2,503/277",12,6
Rajasthan Royals RR,14,5,8,0,1,-0.449,"2,153/257","2,192/248.2",11,7
Royal Challengers Bangalore RCB,14,5,8,0,1,-0.607,"2,146/258.4","2,266/254.3",11,8
